description,subject
" Google CEO Sundar Pichai claimed that artificial intelligence (AI) will bemore transformative to humanity than electricity	ai	What is the difference between AI, Machine Learning and Deep Learning?",ai
"A McKinsey survey has found that out of 2,395 participants, 1,151 people said that their companies have adopted AI in at least one function within the organization	ai	What are the different types of AI?",ai
" PWC has reported that by 2030, the global GDP could rise by 14 percent as a result of AI enabled activities. That is equal to $15.7 TRILLION!!	ai	 Explain the different domains of Artificial Intelligence.",ai
"According to International Data Corporation (IDC), the spending on AI will reach $12 billion in 2021 across Europe and it estimates a double-digit growth until 2024	ai	How is Machine Learning related to Artificial Intelligence?",ai
" Companies, who have implemented AI in at least one function, plan to invest more in AI to respond to the pandemic, which in turn, helps to differentiate themselves from their competitors. - McKinsey  	ai	 What are the different types of Machine Learning?",ai
"In 2020, private AI investment increased by 9.3% from 2019, despite the COVID-19. This is 3.6% higher than the development from 2018 to 2019.  - AI Index 	ai	What is Q-Learning?",ai
 84% of enterprises believe investing in AI will lead to greater competitive advantages.	ai	What is Deep Learning?,ai
 Global revenues from AI for enterprise applications is projected to grow from $1.62B in 2018 to $31.2B in 2025	ai	Explain how Deep Learning works.,ai
" According to the PWC AIâ€™s Predictions 2021, only 28% of executives have considered AI and machine learning as a priority when it comes to information extraction	ai	Explain the commonly used Artificial Neural Networks.",ai
"According to the AI Index, since the year 2000 the annual investment from venture capital firms into US startups utilizing AI systems has increase as much as six times!	ai	What are Bayesian Networks?",ai
"Between 2010 and the first quarter of 2020, the venture funding in AI hit a mind-blowing $61 billion. The majority of this investment went to companies located in the USA and China. 	ai	Explain the assessment that is used to test the intelligence of a machine.",ai
" From a research perspective, China became the global frontrunner of AI in 2021 when it came to technological development and market applications.	ai	How does Reinforcement Learning work? ",ai
"As reported by Gartner, by 2025 more than 75% of venture and seed capital investors will use AI and data analytics to gather information.	ai	 Explain Markov’s decision process with an example",ai
"A supercomputer has identified 77 chemicals that could prevent the coronavirus from spreading, which could help doctors mitigate infection and develop effective treatment plans.	ai	Explain reward maximization in Reinforcement Learning.",ai
Some of the top most innovative AI companies in the world are Alphabetâ€™s Google and Nvidia.	ai	What is exploitation and exploration trade-off?,ai
 Ethics in the world of AI still lacks agreements and benchmarks between active members in the field.	ai	What is the difference between parametric & non-parametric models?,ai
The development of machine learning is expected to be more and more automated.	ai	What is the difference between Hyperparameters and model parameters?,ai
The Chinese government uses financial incentives to encourage private companies to work on AI development.	ai	What are hyperparameters in Deep Neural Networks?,ai
"Microsoft, along with other collaborators, will host the 3rd online workshop on video analytics and intelligent edges at the beginning of 2022.	ai	Explain the different algorithms used for hyperparameter optimization.",ai
